source,target,type
RobertKennedyJr,SenBillCassidy,seed_follows
RobertKennedyJr,SenThomTillis,seed_follows
RobertKennedyJr,RapidResponse47,seed_follows
RobertKennedyJr,PressSec,seed_follows
RobertKennedyJr,Eric_Schmitt,seed_follows
RobertKennedyJr,SenToddYoung,seed_follows
RobertKennedyJr,MarshaBlackburn,seed_follows
RobertKennedyJr,SenTuberville,seed_follows
RobertKennedyJr,SenDanSullivan,seed_follows
RobertKennedyJr,SenRandPaul,seed_follows
RobertKennedyJr,SenatorHagerty,seed_follows
RobertKennedyJr,SenTedBuddNC,seed_follows
RobertKennedyJr,SenKatieBritt,seed_follows
RobertKennedyJr,SenTedCruz,seed_follows
RobertKennedyJr,SenCapito,seed_follows
RobertKennedyJr,SenJohnBarrasso,seed_follows
RobertKennedyJr,CoachForGov,seed_follows
RobertKennedyJr,RogerMarshallMD,seed_follows
RobertKennedyJr,HawleyMO,seed_follows
RobertKennedyJr,SenatorLankford,seed_follows
RobertKennedyJr,MikeCrapo,seed_follows
RobertKennedyJr,SteveDaines,seed_follows
RobertKennedyJr,SenMullin,seed_follows
RobertKennedyJr,SenRickScott,seed_follows
RobertKennedyJr,SenatorTimScott,seed_follows
RobertKennedyJr,The_MAHA_Center,seed_follows
RobertKennedyJr,AutismCapital,seed_follows
RobertKennedyJr,audragold,seed_follows
RobertKennedyJr,WIforRFKJr,seed_follows
RobertKennedyJr,charliekirk11,seed_follows
RobertKennedyJr,ValerieAnne1970,seed_follows
RobertKennedyJr,SusieWiles,seed_follows
RobertKennedyJr,Lily4Liberty,seed_follows
RobertKennedyJr,EricTrump,seed_follows
RobertKennedyJr,RCamposDuffy,seed_follows
RobertKennedyJr,ZacharyLevi,seed_follows
RobertKennedyJr,plantparadise7,seed_follows
RobertKennedyJr,DaRealAmberRose,seed_follows
RobertKennedyJr,DougOfSkye,seed_follows
RobertKennedyJr,TeamTrump,seed_follows
RobertKennedyJr,DonaldJTrumpJr,seed_follows
RobertKennedyJr,realDonaldTrump,seed_follows
RobertKennedyJr,BGatesIsaPyscho,seed_follows
RobertKennedyJr,EitanNahmias,seed_follows
RobertKennedyJr,leslibless,seed_follows
RobertKennedyJr,RealCryptoFace,seed_follows
RobertKennedyJr,seanonolennon,seed_follows
RobertKennedyJr,barstoolsports,seed_follows
RobertKennedyJr,stoolpresidente,seed_follows
RobertKennedyJr,ReformParty,seed_follows
RobertKennedyJr,stevenrinella,seed_follows
RobertKennedyJr,MariaBartiromo,seed_follows
RobertKennedyJr,stephenasmith,seed_follows
RobertKennedyJr,cenkuygur,seed_follows
RobertKennedyJr,kickkennedy,seed_follows
RobertKennedyJr,BearGrylls,seed_follows
RobertKennedyJr,evamckend,seed_follows
RobertKennedyJr,HowieCarrShow,seed_follows
RobertKennedyJr,NicoleShanahan,seed_follows
BarackObama,TheDemocrats,follow_back_within_seed
realDonaldTrump,DonaldJTrumpJr,follow_back_within_seed
realDonaldTrump,EricTrump,follow_back_within_seed
realDonaldTrump,TeamTrump,follow_back_within_seed
realDonaldTrump,MariaBartiromo,follow_back_within_seed
realDonaldTrump,greta,follow_back_within_seed
realDonaldTrump,ericbolling,follow_back_within_seed
NASA,NASAKennedy,follow_back_within_seed
NASA,NOAA,follow_back_within_seed
NASA,NSF,follow_back_within_seed
jimmyfallon,stoolpresidente,follow_back_within_seed
StephenAtHome,TheOnion,follow_back_within_seed
richardbranson,JohnKerry,follow_back_within_seed
andersoncooper,StephenAtHome,follow_back_within_seed
andersoncooper,jaketapper,follow_back_within_seed
JustinTrudeau,JohnKerry,follow_back_within_seed
JustinTrudeau,ONECampaign,follow_back_within_seed
charliekirk11,BarackObama,follow_back_within_seed
charliekirk11,nytimes,follow_back_within_seed
charliekirk11,jack,follow_back_within_seed
charliekirk11,thehill,follow_back_within_seed
charliekirk11,GavinNewsom,follow_back_within_seed
charliekirk11,jaketapper,follow_back_within_seed
charliekirk11,nprpolitics,follow_back_within_seed
charliekirk11,TheDemocrats,follow_back_within_seed
charliekirk11,DavidSacks,follow_back_within_seed
charliekirk11,alfranken,follow_back_within_seed
Schwarzenegger,barstoolsports,follow_back_within_seed
Schwarzenegger,jaketapper,follow_back_within_seed
CoryBooker,TheDemocrats,follow_back_within_seed
CoryBooker,SenBillCassidy,follow_back_within_seed
sciam,NYTScience,follow_back_within_seed
sciam,NSF,follow_back_within_seed
SenTedCruz,stoolpresidente,follow_back_within_seed
SenTedCruz,Riley_Gaines_,follow_back_within_seed
SenTedCruz,MariaBartiromo,follow_back_within_seed
SenTedCruz,MarshaBlackburn,follow_back_within_seed
SenTedCruz,SenRonJohnson,follow_back_within_seed
SenTedCruz,SenMullin,follow_back_within_seed
SenTedCruz,SenTuberville,follow_back_within_seed
SenTedCruz,SenBillCassidy,follow_back_within_seed
SenTedCruz,SenatorHagerty,follow_back_within_seed
SenTedCruz,SenTedBuddNC,follow_back_within_seed
WWF,BearGrylls,follow_back_within_seed
WWF,World_Wildlife,follow_back_within_seed
WWF,NWF,follow_back_within_seed
WWF,Defenders,follow_back_within_seed
DaRealAmberRose,realDonaldTrump,follow_back_within_seed
DaRealAmberRose,DonaldJTrumpJr,follow_back_within_seed
DaRealAmberRose,EricTrump,follow_back_within_seed
DaRealAmberRose,RobertKennedyJr,follow_back_within_seed
DaRealAmberRose,drdrew,follow_back_within_seed
